species,fold,accuracy
Faxonius virilis,1,0.9851694915254238
Faxonius virilis,2,0.9936305732484076
Faxonius virilis,3,0.9978768577494692
Faxonius virilis,4,0.9936305732484076
Faxonius virilis,5,0.9936305732484076
