species,fold,accuracy
Pontastacus leptodactylus,1,0.8475073313782991
Pontastacus leptodactylus,2,0.8621700879765396
Pontastacus leptodactylus,3,0.8211143695014663
Pontastacus leptodactylus,4,0.8299120234604106
Pontastacus leptodactylus,5,0.8152492668621701
