species,fold,accuracy
Faxonius rusticus,1,0.9868073878627969
Faxonius rusticus,2,0.9841688654353562
Faxonius rusticus,3,0.9736147757255936
Faxonius rusticus,4,0.9814814814814815
Faxonius rusticus,5,0.9708994708994709
