species,climate,topography,soil,land_cover,climate_minus_topography,climate_to_topography_ratio,invasion_type
Procambarus clarkii,57.68054754509875,16.402769326199568,25.019221887949328,0.8974612407523613,41.27777821889918,3.5165127545241788,intercontinental
Faxonius limosus,76.15552737253385,15.300698917557277,7.45504031601443,1.088733393894443,60.85482845497658,4.977258083625628,intercontinental
Pacifastacus leniusculus,61.46823365555776,12.358670492387997,19.368426337357064,6.804669514697186,49.10956316316977,4.973693059736282,intercontinental
Faxonius virilis,41.500829946895294,31.927611676720417,24.72044175842695,1.851116617957344,9.573218270174877,1.29984135259184,within_continent
Faxonius rusticus,42.366194858017145,33.51626985969949,23.138966974762376,0.9785683075210043,8.849924998317654,1.2640486257976742,within_continent
