variable,importance,cumulative,rank
l_CLI21,0.4086964145231594,0.4086964145231594,1
l_TOP109,0.4008753616566774,0.8095717761798369,2
u_CLI59,0.057600127818605074,0.867171903998442,3
u_CLI11,0.019664717169629756,0.8868366211680718,4
u_SOL19,0.015669741085014722,0.9025063622530866,5
l_CLI33,0.011976682449221955,0.9144830447023086,6
l_CLI49,0.011441332551625433,0.925924377253934,7
l_SOL11,0.0112145024190622,0.9371388796729961,8
l_CLI57,0.008042654064709954,0.9451815337377061,9
u_SOL11,0.007352467962691296,0.9525340017003974,10
l_SOL57,0.00608216684458096,0.9586161685449783,11
l_TOP116,0.0059422035800313295,0.9645583721250096,12
u_TOP59,0.005866544158160471,0.9704249162831701,13
u_CLI35,0.0038297952887784694,0.9742547115719485,14
l_CLI17,0.0037758929110214526,0.97803060448297,15
l_SOL25,0.003614437269805907,0.9816450417527759,16
l_CLI36,0.0032476410457818947,0.9848926827985578,17
u_TOP39,0.003016378669004954,0.9879090614675627,18
l_SOL37,0.002998639592565071,0.9909077010601278,19
l_TOP76,0.0021495794649291065,0.9930572805250569,20
l_TOP79,0.0018879464555107593,0.9949452269805676,21
l_TOP107,0.001627922038370456,0.9965731490189381,22
l_TOP112,0.001524408314352438,0.9980975573332905,23
l_TOP138,0.0010747897324645532,0.9991723470657551,24
l_SOL16,0.0005775509341385304,0.9997498979998937,25
l_SOL31,0.00025010200010635,1.0,26
l_SOL60,9.203906476939396e-17,1.0,27
l_CLI32,3.4168791922122635e-17,1.0,28
u_TOP67,5.0791447451803914e-18,1.0,29
l_TOP133,3.539964029592075e-18,1.0,30
l_TOP39,2.216354070624171e-18,1.0,31
u_CLI7,1.6856971569486075e-18,1.0,32
l_TOP99,0.0,1.0,33
u_CLI31,0.0,1.0,34
u_CLI23,0.0,1.0,35
u_CLI19,0.0,1.0,36
u_CLI15,0.0,1.0,37
l_TOP83,0.0,1.0,38
u_CLI27,0.0,1.0,39
l_TOP85,0.0,1.0,40
l_TOP87,0.0,1.0,41
l_TOP86,0.0,1.0,42
u_CLI3,0.0,1.0,43
l_TOP88,0.0,1.0,44
l_TOP89,0.0,1.0,45
l_TOP9,0.0,1.0,46
l_TOP90,0.0,1.0,47
l_TOP92,0.0,1.0,48
l_TOP93,0.0,1.0,49
l_TOP97,0.0,1.0,50
l_TOP8,0.0,1.0,51
l_TOP91,0.0,1.0,52
l_CLI1,0.0,1.0,53
l_TOP75,0.0,1.0,54
l_TOP59,0.0,1.0,55
l_TOP38,0.0,1.0,56
l_TOP40,0.0,1.0,57
l_TOP41,0.0,1.0,58
l_TOP42,0.0,1.0,59
l_TOP43,0.0,1.0,60
l_TOP44,0.0,1.0,61
l_TOP45,0.0,1.0,62
l_TOP47,0.0,1.0,63
l_TOP48,0.0,1.0,64
l_TOP49,0.0,1.0,65
l_TOP51,0.0,1.0,66
l_TOP52,0.0,1.0,67
l_TOP6,0.0,1.0,68
l_TOP74,0.0,1.0,69
l_TOP60,0.0,1.0,70
l_TOP61,0.0,1.0,71
l_TOP62,0.0,1.0,72
l_TOP63,0.0,1.0,73
l_TOP64,0.0,1.0,74
l_TOP65,0.0,1.0,75
l_TOP66,0.0,1.0,76
l_TOP68,0.0,1.0,77
l_TOP7,0.0,1.0,78
l_TOP70,0.0,1.0,79
l_TOP72,0.0,1.0,80
u_CLI39,0.0,1.0,81
l_TOP73,0.0,1.0,82
u_LAC1,0.0,1.0,83
u_CLI47,0.0,1.0,84
u_TOP139,0.0,1.0,85
u_SOL55,0.0,1.0,86
u_SOL59,0.0,1.0,87
u_SOL7,0.0,1.0,88
u_TOP103,0.0,1.0,89
u_TOP110,0.0,1.0,90
u_TOP111,0.0,1.0,91
u_TOP112,0.0,1.0,92
u_TOP113,0.0,1.0,93
u_TOP114,0.0,1.0,94
u_TOP117,0.0,1.0,95
u_TOP122,0.0,1.0,96
u_TOP130,0.0,1.0,97
u_TOP135,0.0,1.0,98
u_TOP143,0.0,1.0,99
u_CLI51,0.0,1.0,100
u_TOP15,0.0,1.0,101
u_TOP19,0.0,1.0,102
u_TOP27,0.0,1.0,103
u_TOP3,0.0,1.0,104
u_TOP31,0.0,1.0,105
u_TOP35,0.0,1.0,106
u_TOP47,0.0,1.0,107
u_TOP51,0.0,1.0,108
u_TOP55,0.0,1.0,109
u_TOP63,0.0,1.0,110
u_TOP75,0.0,1.0,111
u_TOP83,0.0,1.0,112
u_TOP91,0.0,1.0,113
u_SOL47,0.0,1.0,114
u_SOL43,0.0,1.0,115
u_SOL39,0.0,1.0,116
u_SOL35,0.0,1.0,117
u_CLI63,0.0,1.0,118
u_CLI67,0.0,1.0,119
u_CLI71,0.0,1.0,120
u_CLI75,0.0,1.0,121
l_TOP30,0.0,1.0,122
u_LAC10,0.0,1.0,123
u_LAC11,0.0,1.0,124
u_LAC12,0.0,1.0,125
u_LAC13,0.0,1.0,126
u_LAC15,0.0,1.0,127
u_LAC16,0.0,1.0,128
u_LAC18,0.0,1.0,129
u_LAC19,0.0,1.0,130
u_LAC20,0.0,1.0,131
u_LAC21,0.0,1.0,132
u_LAC3,0.0,1.0,133
u_LAC4,0.0,1.0,134
u_LAC5,0.0,1.0,135
u_LAC6,0.0,1.0,136
u_LAC7,0.0,1.0,137
u_LAC8,0.0,1.0,138
u_LAC9,0.0,1.0,139
u_SOL15,0.0,1.0,140
u_SOL23,0.0,1.0,141
u_SOL27,0.0,1.0,142
u_SOL3,0.0,1.0,143
u_SOL31,0.0,1.0,144
l_TOP36,0.0,1.0,145
l_TOP143,0.0,1.0,146
l_TOP27,0.0,1.0,147
l_SOL18,0.0,1.0,148
l_LAC20,0.0,1.0,149
l_LAC21,0.0,1.0,150
l_LAC3,0.0,1.0,151
l_LAC4,0.0,1.0,152
l_LAC6,0.0,1.0,153
l_LAC7,0.0,1.0,154
l_LAC8,0.0,1.0,155
l_LAC9,0.0,1.0,156
l_SOL1,0.0,1.0,157
l_SOL10,0.0,1.0,158
l_SOL12,0.0,1.0,159
l_SOL13,0.0,1.0,160
l_SOL17,0.0,1.0,161
l_SOL19,0.0,1.0,162
l_SOL34,0.0,1.0,163
l_SOL2,0.0,1.0,164
l_SOL20,0.0,1.0,165
l_SOL21,0.0,1.0,166
l_SOL22,0.0,1.0,167
l_SOL23,0.0,1.0,168
l_SOL24,0.0,1.0,169
l_SOL26,0.0,1.0,170
l_SOL27,0.0,1.0,171
l_SOL28,0.0,1.0,172
l_SOL29,0.0,1.0,173
l_SOL3,0.0,1.0,174
l_SOL30,0.0,1.0,175
l_SOL32,0.0,1.0,176
l_LAC19,0.0,1.0,177
l_LAC18,0.0,1.0,178
l_LAC16,0.0,1.0,179
l_LAC15,0.0,1.0,180
l_CLI14,0.0,1.0,181
l_CLI16,0.0,1.0,182
l_CLI20,0.0,1.0,183
l_CLI24,0.0,1.0,184
l_CLI26,0.0,1.0,185
l_CLI28,0.0,1.0,186
l_CLI30,0.0,1.0,187
l_CLI38,0.0,1.0,188
l_CLI4,0.0,1.0,189
l_CLI40,0.0,1.0,190
l_CLI44,0.0,1.0,191
l_CLI45,0.0,1.0,192
l_CLI52,0.0,1.0,193
l_CLI6,0.0,1.0,194
l_CLI60,0.0,1.0,195
l_CLI62,0.0,1.0,196
l_CLI65,0.0,1.0,197
l_CLI71,0.0,1.0,198
l_CLI72,0.0,1.0,199
l_CLI73,0.0,1.0,200
l_CLI8,0.0,1.0,201
l_CLI9,0.0,1.0,202
l_LAC1,0.0,1.0,203
l_LAC10,0.0,1.0,204
l_LAC11,0.0,1.0,205
l_LAC12,0.0,1.0,206
l_LAC13,0.0,1.0,207
l_SOL33,0.0,1.0,208
l_SOL35,0.0,1.0,209
l_TOP24,0.0,1.0,210
l_TOP137,0.0,1.0,211
l_TOP111,0.0,1.0,212
l_TOP113,0.0,1.0,213
l_TOP117,0.0,1.0,214
l_TOP118,0.0,1.0,215
l_TOP124,0.0,1.0,216
l_TOP125,0.0,1.0,217
l_TOP126,0.0,1.0,218
l_TOP127,0.0,1.0,219
l_TOP13,0.0,1.0,220
l_TOP132,0.0,1.0,221
l_TOP134,0.0,1.0,222
l_TOP135,0.0,1.0,223
l_TOP136,0.0,1.0,224
l_TOP139,0.0,1.0,225
l_SOL36,0.0,1.0,226
l_TOP14,0.0,1.0,227
l_TOP140,0.0,1.0,228
l_TOP141,0.0,1.0,229
l_TOP142,0.0,1.0,230
l_CLI12,0.0,1.0,231
l_TOP144,0.0,1.0,232
l_TOP16,0.0,1.0,233
l_TOP17,0.0,1.0,234
l_TOP18,0.0,1.0,235
l_TOP19,0.0,1.0,236
l_TOP2,0.0,1.0,237
l_TOP20,0.0,1.0,238
l_TOP23,0.0,1.0,239
l_TOP11,0.0,1.0,240
l_TOP108,0.0,1.0,241
l_TOP106,0.0,1.0,242
l_TOP105,0.0,1.0,243
l_SOL38,0.0,1.0,244
l_SOL39,0.0,1.0,245
l_SOL4,0.0,1.0,246
l_SOL40,0.0,1.0,247
l_SOL42,0.0,1.0,248
