species,pathway,Climate_mean,Climate_foldmean,Climate_foldSD,Topography_mean,Topography_foldmean,Topography_foldSD,Soil_mean,Soil_foldmean,Soil_foldSD,Land Cover_mean,Land Cover_foldmean,Land Cover_foldSD
Procambarus clarkii,intercontinental,57.32801587192272,57.678148421108745,0.2052140732409903,16.363911787254416,16.451546935358902,0.32797128765024314,25.415459746936214,25.015197655570176,0.45260988086551046,0.892612593886654,0.8551069879621844,0.07414885715626067
Faxonius limosus,intercontinental,76.23353269918482,75.86487187055748,1.2162979620050896,15.572126023296441,15.727409243210207,0.9767597129065011,7.360937077533073,7.474761168019993,0.244672499035464,0.833404199985678,0.9329577182123293,0.11719609720206575
Pacifastacus leniusculus,intercontinental,63.45147961341236,61.37922150356591,0.5245303562448267,12.437711513865754,13.009998951772008,0.7748386640673384,18.114111029100584,19.08527578482664,0.7991100915576612,5.996697843621306,6.525503759835445,0.4817000118617895
Faxonius virilis,within-continent,40.64401196578393,41.38292888834809,0.7463728549592015,32.38479910998724,31.127135313391733,0.8049046910590635,24.93515355818715,25.471585536289517,1.2453963121588432,2.0360353660416766,2.0183502619706664,0.10804999735274201
Faxonius rusticus,within-continent,42.69395971338417,42.391685367195734,0.39778777965621565,33.19146158309466,33.4757424301054,0.508564264002689,23.229623573245725,23.247085684594538,0.5019164396737743,0.8849551302754405,0.885486518104323,0.05191242041208954
