species,n_native,n_invasive,n_features,pc1_variance_explained,pc2_variance_explained,schoeners_D,warrens_I
Procambarus clarkii,2208,8527,195,0.16311752777019986,0.0727577838806429,0.6191244077437217,0.8594988334264677
Faxonius limosus,382,4089,270,0.13232748249089546,0.07542847782877955,0.47960734298733665,0.75670059032841
Pacifastacus leniusculus,117,4459,292,0.16081123174075063,0.08943765761986004,0.3692894294201946,0.6027301608015866
Faxonius virilis,1856,500,277,0.1282159296217238,0.0851303158732677,0.3264128967353408,0.6075096416809163
Faxonius rusticus,1223,670,271,0.14338746090443155,0.09328895032086598,0.2994793730683033,0.5651062729037809
