species,pathway,n_pc_80pct,var_2pc,var_80pct,D_2pc_grid,I_2pc_grid,D_2pc_knn_check,RF_400var_auc,RF_2pc_auc
Procambarus clarkii,intercontinental,37,0.23587531165084252,0.8030907133198828,0.611110471132013,0.8545074225405743,0.7172135938670477,0.9988092721956395,0.7401318787493998
Faxonius limosus,intercontinental,45,0.20775596031967505,0.80057769807642,0.46717161656066775,0.7442396306244836,0.5333495595802302,1.0,0.768224432710873
Pacifastacus leniusculus,intercontinental,45,0.2502488893606109,0.8020538527830131,0.3596441142019443,0.5942363949947149,0.6404738729104856,0.9995742425847114,0.7855937006216057
Faxonius virilis,within-continent,41,0.21334624549514097,0.8018563675090598,0.3172985211084637,0.5935920765899133,0.3075477172067096,0.9988888719821466,0.8726525229690172
Faxonius rusticus,within-continent,41,0.23667641122538927,0.8004809307905614,0.2930657637605245,0.5492169928158701,0.3609250796106257,0.9975487733630276,0.8764347008683581
