species,pathway,Climate_dAUC,Climate_dAcc,Topography_dAUC,Topography_dAcc,Soil_dAUC,Soil_dAcc,Land Cover_dAUC,Land Cover_dAcc
Procambarus clarkii,intercontinental,0.21743989950865678,0.23090824406148108,0.00038079105242047053,0.005393572426641837,0.0019662691637228093,0.011951560316721031,-4.418897438648095e-05,-0.0001397298556124693
Faxonius limosus,intercontinental,0.09454081293968261,0.14837861347531034,0.0001230757657828585,0.001140589654181292,1.9984014443252817e-17,0.0008946046267482477,8.881784197001253e-18,0.00011185682326630975
Pacifastacus leniusculus,intercontinental,0.1311961847074618,0.025414369914334163,2.8632402606107998e-05,0.002250912735342574,0.0009174292771376913,0.007998401221752967,0.00015032407981814267,0.005419524184503813
Faxonius virilis,within-continent,0.04585493000608655,0.09236433480873718,0.019885888183636333,0.060613102306668026,0.0034729639451643135,0.011376533880312279,9.278613453914675e-05,-0.0007205189103603015
Faxonius rusticus,within-continent,0.1561721186639569,0.2482792366433527,0.09879891692424464,0.1875297008278538,0.007109819337571086,0.008132093646605464,0.00011574904001238284,5.277044854876678e-05
