WoCID,lat_or,long_or,species,pathway_as_classified,continent
WC2857,44.875211,11.718267,Procambarus clarkii,intercontinental,Europe
WC2858,44.887706,11.998069,Procambarus clarkii,intercontinental,Europe
WC2859,44.854883,12.244478,Procambarus clarkii,intercontinental,Europe
WC2860,44.747728,12.132456,Procambarus clarkii,intercontinental,Europe
WC2861,44.958475,12.099975,Procambarus clarkii,intercontinental,Europe
WC2862,44.565967,12.085581,Procambarus clarkii,intercontinental,Europe
WC2863,44.554717,12.229122,Procambarus clarkii,intercontinental,Europe
WC2864,44.950178,11.616447,Procambarus clarkii,intercontinental,Europe
WC2865,45.071075,11.754064,Procambarus clarkii,intercontinental,Europe
WC2866,45.046817,12.208453,Procambarus clarkii,intercontinental,Europe
WC2867,45.155814,12.2108,Procambarus clarkii,intercontinental,Europe
WC2868,47.51674989,19.0785567,Procambarus clarkii,intercontinental,Europe
WC6182,51.65315983,5.29152812,Procambarus clarkii,intercontinental,Europe
WC6183,51.9173317,4.31688261,Procambarus clarkii,intercontinental,Europe
WC6184,51.97059624,4.31092002,Procambarus clarkii,intercontinental,Europe
WC6185,52.01007032,4.36098987,Procambarus clarkii,intercontinental,Europe
WC6186,52.02676817,4.41029701,Procambarus clarkii,intercontinental,Europe
WC6188,52.0298255,4.6777379,Procambarus clarkii,intercontinental,Europe
WC6193,52.03365886,4.28958625,Procambarus clarkii,intercontinental,Europe
WC6194,52.0346921,4.28978743,Procambarus clarkii,intercontinental,Europe
WC6198,52.03487694,4.69192875,Procambarus clarkii,intercontinental,Europe
WC6199,52.03522873,4.75588369,Procambarus clarkii,intercontinental,Europe
WC6200,52.04288048,4.38701124,Procambarus clarkii,intercontinental,Europe
WC6201,52.04534531,4.778966904,Procambarus clarkii,intercontinental,Europe
WC6203,52.05408605,4.76154514,Procambarus clarkii,intercontinental,Europe
WC6204,52.0589375,4.7462583,Procambarus clarkii,intercontinental,Europe
WC6205,52.05907822,4.70238066,Procambarus clarkii,intercontinental,Europe
WC6207,52.0613501,4.74680906,Procambarus clarkii,intercontinental,Europe
WC6208,52.06137466,4.729627132,Procambarus clarkii,intercontinental,Europe
WC6209,52.06162281,4.46443275,Procambarus clarkii,intercontinental,Europe
WC6210,52.06513151,4.75310013,Procambarus clarkii,intercontinental,Europe
WC6211,52.06766456,4.68504446,Procambarus clarkii,intercontinental,Europe
WC6212,52.07952499,4.261746883,Procambarus clarkii,intercontinental,Europe
WC6213,52.08026342,4.73630617,Procambarus clarkii,intercontinental,Europe
WC6214,52.08102039,4.73106503,Procambarus clarkii,intercontinental,Europe
WC6218,52.08126974,4.71532793,Procambarus clarkii,intercontinental,Europe
WC6287,52.08484268,4.740475655,Procambarus clarkii,intercontinental,Europe
WC6288,52.08682251,4.27892065,Procambarus clarkii,intercontinental,Europe
WC6289,52.09147644,4.73788595,Procambarus clarkii,intercontinental,Europe
WC6290,52.09249761,4.86246052,Procambarus clarkii,intercontinental,Europe
WC6292,52.09712982,4.894240379,Procambarus clarkii,intercontinental,Europe
WC6298,52.101912,4.509458,Procambarus clarkii,intercontinental,Europe
WC6299,52.1022102,4.71993463,Procambarus clarkii,intercontinental,Europe
WC6300,52.10223007,4.84491777,Procambarus clarkii,intercontinental,Europe
WC6306,52.10418656,4.99961008,Procambarus clarkii,intercontinental,Europe
WC6307,52.10422897,4.996166229,Procambarus clarkii,intercontinental,Europe
WC6310,52.10479355,4.72641706,Procambarus clarkii,intercontinental,Europe
WC6311,52.1048042,4.98931692,Procambarus clarkii,intercontinental,Europe
WC6314,52.10567159,5.01184882,Procambarus clarkii,intercontinental,Europe
WC6315,52.10631561,4.72658968,Procambarus clarkii,intercontinental,Europe
WC6317,52.10655822,4.73940898,Procambarus clarkii,intercontinental,Europe
WC6318,52.10671234,4.74064732,Procambarus clarkii,intercontinental,Europe
WC6320,52.10709763,4.733224869,Procambarus clarkii,intercontinental,Europe
WC6346,52.10900849,4.72242255,Procambarus clarkii,intercontinental,Europe
WC6350,52.11289597,4.98397255,Procambarus clarkii,intercontinental,Europe
WC6352,52.11304092,4.74571037,Procambarus clarkii,intercontinental,Europe
