species,pathway,cv_accuracy_mean,cv_accuracy_sd,cv_auc_mean,cv_auc_sd
Procambarus clarkii,intercontinental,0.9885421518397765,0.0010863440884667417,0.9988092721956395,0.0005118364310819892
Faxonius limosus,intercontinental,0.9997765363128492,0.0004469273743016977,1.0,0.0
Pacifastacus leniusculus,intercontinental,0.9965032094876751,0.0012750163503954849,0.9995742425847114,0.0004318779415603234
Faxonius virilis,within-continent,0.9898170139263737,0.005081378173207767,0.9988888719821466,0.001439972367194329
Faxonius rusticus,within-continent,0.9820329187083804,0.007378958840329598,0.9975487733630276,0.0016189986718257625
