species,pathway,n_native,n_invaded,DT_accuracy,DT_accuracy_sd,DT_auc,DT_auc_sd,RF_accuracy,RF_accuracy_sd,RF_auc,RF_auc_sd
Procambarus clarkii,intercontinental,2208,8527,0.983791336748952,0.002624872436628859,0.98959708293486,0.004816126366741643,0.9885421518397765,0.0010863440884667417,0.9988092721956395,0.0005118364310819892
Faxonius limosus,intercontinental,382,4089,0.9993288590604028,0.0013422818791946512,0.9984397117488097,0.003120576502380601,0.9997765363128492,0.0004469273743016977,1.0,0.0
Pacifastacus leniusculus,intercontinental,117,4459,0.9901653661679433,0.00498531596688083,0.9449816201959514,0.02952340109493293,0.9965032094876751,0.0012750163503954849,0.9995742425847114,0.0004318779415603234
Faxonius virilis,within-continent,1856,500,0.9736865306416206,0.0045571509969741285,0.961550655015506,0.016376799729586403,0.9898170139263737,0.005081378173207767,0.9988888719821466,0.001439972367194329
Faxonius rusticus,within-continent,1223,670,0.9646033142075359,0.00721570905360164,0.9546796837159135,0.011947490004871986,0.9820329187083804,0.007378958840329598,0.9975487733630276,0.0016189986718257625
