species,range,n_presence,strategy_a_accuracy,strategy_a_auc,strategy_b_accuracy,strategy_b_auc,strategy_a_features,strategy_b_features,strategy_a_climate,strategy_a_topography,strategy_a_soil,strategy_a_landcover,strategy_b_climate,strategy_b_topography,strategy_b_soil,strategy_b_landcover,top10_overlap_n
Procambarus clarkii,native,2208,0.9375027543903702,0.9683334094747076,0.9393145026980214,0.9695814315980481,186,185,91.4599728054244,0.9017887542155554,7.312611879010257,0.3256265613497741,94.53953473084786,0.0,5.200010249020529,0.2604550201315966,4
Procambarus clarkii,invasive,8527,0.8976193116800827,0.9430076830600344,0.8948633324478077,0.9314243113407225,200,196,97.96246316449636,0.0,2.0375368355036527,0.0,97.23197975357162,2.768020246428386,0.0,0.0,2
Faxonius limosus,native,382,0.927984176126591,0.9163223549303883,0.9292913656690747,0.9274499046659711,261,260,85.59871217074702,12.427103683348157,1.974184145904824,0.0,85.27572604150299,10.824826649294552,3.3554377807467053,0.5440095284557508,3
Faxonius limosus,invasive,4089,0.826242420164046,0.8679679398798452,0.9048679183209588,0.9261751693661082,197,279,32.33277587568633,67.57323625272787,0.09398787158581216,0.0,16.379220584848603,83.6207794151514,0.0,0.0,4
Pacifastacus leniusculus,native,117,0.9274745605920444,0.9269927536231884,0.9145235892691952,0.9141619407687461,182,184,88.99693171129161,0.0,7.7528994624727785,3.2501688262356008,93.46184368822523,0.0,4.858504149004312,1.6796521627704513,0
Pacifastacus leniusculus,invasive,4459,0.8651054176339066,0.9228811860621267,0.9043517626613081,0.9279445486794318,291,285,69.83995957165834,3.266443836576474,26.89359659176519,0.0,83.44920935558075,10.148790217084285,5.1349954228070285,1.267005004527944,0
Faxonius virilis,native,1856,0.9046340870587297,0.9447340646889334,0.9202620686152517,0.949099240403565,277,280,97.7789110150984,0.6512046229051065,0.8575004052710248,0.7123839567254617,96.8220893489138,1.9812309993055592,0.3838406430239762,0.8128390087566554,5
Faxonius virilis,invasive,500,0.9259999999999999,0.9332,0.817,0.8715800000000001,277,278,78.56180236135067,3.26963527493097,17.148762859650173,1.0197995040681922,64.9698902784028,21.056084295531964,12.80160878263073,1.17241664343452,3
Faxonius rusticus,native,1223,0.9137423312883435,0.9085304005844559,0.937859020908977,0.9360105830221015,273,271,87.5761137891816,9.941539674183803,2.4823465366345903,0.0,88.7717116253382,10.017452974695095,1.21083539996671,0.0,2
Faxonius rusticus,invasive,670,0.9701492537313433,0.9696814435286256,0.9134328358208956,0.9133047449320563,279,273,93.46345135742888,4.400319206887629,2.136229435683492,0.0,88.27291333274931,10.346212675258244,0.0,1.3808739919924458,2
